Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8647560,42649268176321283444387,2290898269691044999503,42648757185906116022518,2291319583327535207592,104176065,1003987810036994477,1858177,53343105255673,7200000000000,1361779850927265531215597,1387300407358481535143,1007833367107900199,1007833361056670146
8648087,42649612947064165719711,2290629090393685763837,42648757185906116022518,2291319583327535207592,104176065,1003987810036994477,1850648,53498209307632,7200000000000,1361779850927265531215597,1387300407358481535143,1007833367107900199,1007833361056670146
8648614,42649743403925820846258,2290527149370603277261,42649431447551710120862,2290776657056011412548,102418483,1003987476642523617,1843120,53653313359590,7200000000000,1361683344574230386094302,1387192839421072744766,1007833415784713760,1007833407818739254
8649141,42650200330525689452393,2290169855498686910370,42649431447551710120862,2290776657056011412548,102418483,1003987476642523617,1835591,53808417411548,7200000000000,1361683344574230386094302,1387192839421072744766,1007833415784713760,1007833407818739254
8649668,42650279435756732967060,2290107999142991042182,42649431447551710120862,2290776657056011412548,102418483,1003987476642523617,1828062,53963521463506,7200000000000,1361683344574230386094302,1387192839421072744766,1007833415784713760,1007833407818739254
8650195,42650894986587165367971,2289633768635035275585,42650457050182007152676,2289971302484820253320,99617911,1003987026731059997,1820534,54118625515464,7200000000000,1361538500277545179556391,1387019721671399885391,1007833520852366060,1007833456938764267
8650722,42651152581442001327649,2289436539174538929785,42650457050182007152676,2289971302484820253320,99617911,1003987026731059997,1813005,54273729567422,7200000000000,1361538500277545179556391,1387019721671399885391,1007833520852366060,1007833456938764267
8651249,42652596872379052215808,2288915297491249034051,42651362327082180171712,2289385172590163854061,104034419,1003988093528398836,1805476,54428833619381,7200000000000,1361438378488855873859374,1386956550939528137701,1007834512005702397,1007834504001284113
8651776,42653208444522065366265,2288693267197081775219,42651362327082180171712,2289385172590163854061,104034419,1003988093528398836,1797948,54583937671339,7200000000000,1361438378488855873859374,1386956550939528137701,1007834512005702397,1007834504001284113
8652303,42653982665702857973171,2288406771634915479523,42652782378564811804824,2288853631839336802663,102238100,1003987745608341945,1790419,54739041723297,7200000000000,1361351589006111361807379,1386844910917582187770,1007834554956878251,1007834547717946844
8652830,42654627536578909411965,2288168430097120350846,42653749964510571923529,2288493783599889875767,100958504,1003987498900463247,1782890,54894145775255,7200000000000,1361292733202911988675844,1386771891422692998641,1007834571079358626,1007834566477910030
8653357,42655257578477777046905,2287937225529677298396,42653749964510571923529,2288493783599889875767,100958504,1003987498900463247,1775362,55049249827213,7200000000000,1361292733202911988675844,1386771891422692998641,1007834571079358626,1007834566477910030
8653884,42656201833848903158859,2287592818451086543945,42655329436105065724601,2287912098172636613482,98768938,1003987148954533658,1767833,55204353879172,7200000000000,1361196480095734393890274,1386666239244816176464,1007834629539625059,1007834605734532673
8654411,42656707643884588563289,2287408086318129809573,42655329436105065724601,2287912098172636613482,98768938,1003987148954533658,1760304,55359457931130,7200000000000,1361196480095734393890274,1386666239244816176464,1007834629539625059,1007834605734532673
8654938,42657356611195176176540,2287175030728138520004,42656396270732362269050,2287521979753338822765,97184701,1003986934996783332,1752776,55514561983088,7200000000000,1361134542475486262124995,1386622714352326379889,1007834667212403009,1007834659593361505
8655465,42657799060062878344293,2287016453774177581114,42656396270732362269050,2287521979753338822765,97184701,1003986934996783332,1745247,55669666035046,7200000000000,1361134542475486262124995,1386622714352326379889,1007834667212403009,1007834659593361505
8655992,42658005549505445865110,2286943168924923945365,42657486116246626424306,2287129337596301583233,95507691,1003986730746991306,1737719,55824770087004,7200000000000,1361072466573972814105851,1386554802837977398960,1007834713369052362,1007834705673797986
8656519,42658925176911744075954,2286618822979557952363,42658200433422039105792,2286875548317730850872,94395935,1003986573212902785,1730190,55979874138963,7200000000000,1361031227275316398400092,1386504815623076010539,1007834722083023418,1007834719158862559
8657046,42659441149066004066109,2286437233354643683517,42658200433422039105792,2286875548317730850872,94395935,1003986573212902785,1722661,56134978190921,7200000000000,1361031227275316398400092,1386504815623076010539,1007834722083023418,1007834719158862559
8657573,42671200504660395839169,2286742079836220893200,42663712746222873837555,2286574736898368148742,100876780,1003999138423904514,1715133,56290082242879,7200000000000,1361054107258291015110474,1386597094136073202372,1007844869285469341,1007840184320666776
